pair,i_py,j_ml,center_dist,py_noise_sigma,py_n_spikes,py_snr_median,py_snr_p90,py_snr_max,py_spectral_hf_snr,py_psd_floor,ml_noise_sigma,ml_n_spikes,ml_snr_median,ml_snr_p90,ml_snr_max,ml_spectral_hf_snr,ml_psd_floor,corr_raw,corr_hp,coh_hi
154,154,88,0.000,0.0126275,23,4.46712,5.7034,6.01729,3.48184,2.36445e-07,0.0126275,23,4.46712,5.7034,6.01729,3.48184,2.36445e-07,1,1,1
155,155,309,0.000,0.120376,15,4.82375,8.81873,9.69356,0.976508,3.20497e-05,0.120376,15,4.82375,8.81873,9.69356,0.976508,3.20497e-05,1,1,1
156,156,39,0.000,0.144546,31,7.77672,9.81272,10.8289,2.90034,4.19038e-05,0.144546,31,7.77672,9.81272,10.8289,2.90034,4.19038e-05,1,1,1
157,157,132,0.000,0.0308247,30,5.27641,6.14551,6.78081,1.34234,1.98182e-06,0.0308247,30,5.27641,6.14551,6.78081,1.34234,1.98182e-06,1,1,1
158,158,180,0.000,0.0475573,1,4.4784,4.4784,4.4784,0.331937,4.93815e-06,0.0475573,1,4.4784,4.4784,4.4784,0.331937,4.93815e-06,1,1,1
159,159,58,0.000,0.0683454,17,4.48409,5.35949,6.57239,0.980144,9.48983e-06,0.0683454,17,4.48409,5.35949,6.57239,0.980144,9.48983e-06,1,1,1
160,160,84,0.000,0.156958,44,6.93794,8.37116,8.96807,1.95511,5.57801e-05,0.156958,44,6.93794,8.37116,8.96807,1.95511,5.57801e-05,1,1,1
161,161,234,0.000,0.191194,29,5.13295,8.12536,10.1839,2.93466,6.85051e-05,0.191194,29,5.13295,8.12536,10.1839,2.93466,6.85051e-05,1,1,1
162,162,235,0.000,0.159097,30,5.27543,7.85919,9.30351,1.84368,5.10232e-05,0.159097,30,5.27543,7.85919,9.30351,1.84368,5.10232e-05,1,1,1
163,163,295,0.000,0.0346003,16,4.41166,5.8977,8.8566,2.06115,2.06494e-06,0.0346003,16,4.41166,5.8977,8.8566,2.06115,2.06494e-06,1,1,1
164,164,286,0.000,0.199655,21,5.02346,6.6303,7.31772,1.23752,8.0237e-05,0.199655,21,5.02346,6.6303,7.31772,1.23752,8.0237e-05,1,1,1
165,165,299,0.000,0.0459739,15,4.75856,5.50988,5.69744,1.38866,4.02297e-06,0.0459739,15,4.75856,5.50988,5.69744,1.38866,4.02297e-06,1,1,1
166,166,56,0.000,0.204662,41,6.12941,7.72373,11.4284,5.22891,6.21489e-05,0.204662,41,6.12941,7.72373,11.4284,5.22891,6.21489e-05,1,1,1
167,167,177,0.000,0.0505634,16,4.56008,4.99464,5.4596,1.09974,4.8812e-06,0.0505634,16,4.56008,4.99464,5.4596,1.09974,4.8812e-06,1,1,1
168,168,95,0.000,0.0672366,1,4.0477,4.0477,4.0477,0.540143,9.57419e-06,0.0672366,1,4.0477,4.0477,4.0477,0.540143,9.57419e-06,1,1,1
169,169,145,0.000,0.0478007,0,nan,nan,nan,0.509542,4.51866e-06,0.0478007,0,nan,nan,nan,0.509542,4.51866e-06,1,1,1
170,170,178,0.000,0.0645701,13,4.24992,4.70806,5.32386,0.798182,8.39234e-06,0.0645701,13,4.24992,4.70806,5.32386,0.798182,8.39234e-06,1,1,1
171,171,113,0.000,0.160501,4,6.13742,8.0917,8.89671,0.726097,5.17078e-05,0.160501,4,6.13742,8.0917,8.89671,0.726097,5.17078e-05,1,1,1
172,172,148,0.000,0.0312013,7,4.95586,5.33407,5.42095,0.924308,1.95221e-06,0.0312013,7,4.95586,5.33407,5.42095,0.924308,1.95221e-06,1,1,1
173,173,197,0.000,0.136958,41,6.09255,8.39038,9.76813,2.58791,3.84551e-05,0.136958,41,6.09255,8.39038,9.76813,2.58791,3.84551e-05,1,1,1
174,174,319,0.000,0.137125,11,4.4266,8.34175,9.63268,1.23791,3.27763e-05,0.137125,11,4.4266,8.34175,9.63268,1.23791,3.27763e-05,1,1,1
175,175,337,0.000,0.0621973,8,4.42527,4.81765,5.06858,0.621448,7.77907e-06,0.0621973,8,4.42527,4.81765,5.06858,0.621448,7.77907e-06,1,1,1
176,176,260,0.000,0.133496,31,7.11011,9.33238,10.3217,2.69806,3.44119e-05,0.133496,31,7.11011,9.33238,10.3217,2.69806,3.44119e-05,1,1,1
177,177,261,0.000,0.125136,36,5.30214,7.1134,9.77823,1.7414,3.06148e-05,0.125136,36,5.30214,7.1134,9.77823,1.7414,3.06148e-05,1,1,1
178,178,54,0.000,0.161522,39,7.26682,8.92742,9.47951,2.72672,5.20372e-05,0.161522,39,7.26682,8.92742,9.47951,2.72672,5.20372e-05,1,1,1
179,179,20,0.000,0.0470872,34,4.66763,5.48068,6.24916,1.34432,4.39137e-06,0.0470872,34,4.66763,5.48068,6.24916,1.34432,4.39137e-06,1,1,1
180,180,92,0.000,0.0544593,5,4.14217,4.38762,4.53226,0.767024,5.82554e-06,0.0544593,5,4.14217,4.38762,4.53226,0.767024,5.82554e-06,1,1,1
181,181,149,0.000,0.180384,29,5.08004,7.77174,9.32478,2.35641,6.14142e-05,0.19725,4,5.30767,5.94955,6.05178,0.446719,8.96185e-05,0.952156,0.413287,0.290937
182,182,250,0.000,0.144701,9,4.67557,7.16435,8.2294,1.00892,4.18488e-05,0.144701,9,4.67557,7.16435,8.2294,1.00892,4.18488e-05,1,1,1
183,183,251,0.000,0.144559,7,4.45708,8.3139,8.78882,0.911266,4.4724e-05,0.144559,7,4.45708,8.3139,8.78882,0.911266,4.4724e-05,1,1,1
184,184,320,0.000,0.177638,28,4.87396,6.92252,7.76355,1.36814,6.52798e-05,0.177638,28,4.87396,6.92252,7.76355,1.36814,6.52798e-05,1,1,1
185,185,351,0.000,0.160546,22,4.47057,7.51364,7.89886,1.3896,5.4892e-05,0.160546,22,4.47057,7.51364,7.89886,1.3896,5.4892e-05,1,1,1
186,186,211,0.000,0.0297054,30,5.16284,6.18497,7.3921,1.26174,1.95286e-06,0.0297054,30,5.16284,6.18497,7.3921,1.26174,1.95286e-06,1,1,1
187,187,338,0.000,0.0664038,5,4.62026,5.09075,5.14191,0.593898,8.85834e-06,0.0664038,5,4.62026,5.09075,5.14191,0.593898,8.85834e-06,1,1,1
188,188,21,0.000,0.140203,3,7.52433,7.8048,7.87492,0.631399,3.964e-05,0.140203,3,7.52433,7.8048,7.87492,0.631399,3.964e-05,1,1,1
189,189,341,0.000,0.0549276,3,4.32921,4.43716,4.46415,0.384751,7.02132e-06,0.0549276,3,4.32921,4.43716,4.46415,0.384751,7.02132e-06,1,1,1
190,190,23,0.000,0.0142778,20,4.44985,5.73257,7.54751,3.85787,2.9682e-07,0.0142778,20,4.44985,5.73257,7.54751,3.85787,2.9682e-07,1,1,1
191,191,55,0.000,0.14422,32,6.87305,8.97262,9.68298,2.23701,4.12987e-05,0.14422,32,6.87305,8.97262,9.68298,2.23701,4.12987e-05,1,1,1
192,192,244,0.000,0.153914,40,7.92116,8.90145,9.50127,2.60311,5.17147e-05,0.153914,40,7.92116,8.90145,9.50127,2.60311,5.17147e-05,1,1,1
193,193,53,0.000,0.139217,34,9.19057,10.6496,11.2135,4.1578,4.07327e-05,0.139217,34,9.19057,10.6496,11.2135,4.1578,4.07327e-05,1,1,1
194,194,169,0.000,0.0152701,16,4.36354,4.94781,6.73832,3.01677,3.56469e-07,0.0152701,16,4.36354,4.94781,6.73832,3.01677,3.56469e-07,1,1,1
195,195,304,0.000,0.0307353,5,4.34349,4.64232,4.69925,1.02592,1.77449e-06,0.0307353,5,4.34349,4.64232,4.69925,1.02592,1.77449e-06,1,1,1
196,196,70,0.000,0.0207915,18,4.48065,5.91242,7.01685,1.64613,8.3141e-07,0.0207915,18,4.48065,5.91242,7.01685,1.64613,8.3141e-07,1,1,1
197,197,72,0.000,0.0141666,35,4.68299,5.76671,6.99498,3.24259,3.17166e-07,0.0141666,35,4.68299,5.76671,6.99498,3.24259,3.17166e-07,1,1,1
198,198,188,0.000,0.0146091,13,4.58498,5.66599,5.8204,2.41748,3.37044e-07,0.0146091,13,4.58498,5.66599,5.8204,2.41748,3.37044e-07,1,1,1
199,199,51,0.000,0.0362605,22,4.7154,6.04543,6.69494,1.51082,2.59113e-06,0.0362605,22,4.7154,6.04543,6.69494,1.51082,2.59113e-06,1,1,1
200,200,305,0.000,0.151554,29,4.97595,7.43902,8.56057,1.18697,5.10252e-05,0.151554,29,4.97595,7.43902,8.56057,1.18697,5.10252e-05,1,1,1
201,201,310,0.000,0.0486982,0,nan,nan,nan,0.63556,4.11079e-06,0.0486982,0,nan,nan,nan,0.63556,4.11079e-06,1,1,1
202,202,137,0.000,0.176174,42,5.8731,7.4781,7.71514,2.07851,5.61412e-05,0.176174,42,5.8731,7.4781,7.71514,2.07851,5.61412e-05,1,1,1
203,203,83,0.000,0.0333595,14,4.60999,5.23749,5.82845,0.864594,2.42503e-06,0.0333595,14,4.60999,5.23749,5.82845,0.864594,2.42503e-06,1,1,1
204,204,108,0.000,0.160397,23,4.62959,6.53992,7.57544,1.13886,5.17511e-05,0.160397,23,4.62959,6.53992,7.57544,1.13886,5.17511e-05,1,1,1
205,205,298,0.000,0.0613765,0,nan,nan,nan,0.268505,8.2873e-06,0.0613765,0,nan,nan,nan,0.268505,8.2873e-06,1,1,1
206,206,43,0.000,0.0280063,28,4.40774,5.50729,8.23244,1.90131,1.44926e-06,0.0280063,28,4.40774,5.50729,8.23244,1.90131,1.44926e-06,1,1,1
207,207,49,0.000,0.0296987,38,5.44483,7.50781,9.68498,2.54673,1.6491e-06,0.0296987,38,5.44483,7.50781,9.68498,2.54673,1.6491e-06,1,1,1
208,208,116,0.000,0.0398835,3,4.95676,5.94285,6.18937,0.786166,3.05951e-06,0.0398835,3,4.95676,5.94285,6.18937,0.786166,3.05951e-06,1,1,1
209,209,209,0.000,0.0556971,6,4.57248,5.19091,5.512,0.71366,6.47051e-06,0.0556971,6,4.57248,5.19091,5.512,0.71366,6.47051e-06,1,1,1
210,210,89,0.000,0.0145265,23,4.96824,5.87734,6.44128,3.30939,3.21149e-07,0.0145265,23,4.96824,5.87734,6.44128,3.30939,3.21149e-07,1,1,1
211,211,103,0.000,0.0879379,1,4.1047,4.1047,4.1047,0.683495,1.55429e-05,0.0879379,1,4.1047,4.1047,4.1047,0.683495,1.55429e-05,1,1,1
212,212,109,0.000,0.0533759,0,nan,nan,nan,0.601886,5.58301e-06,0.0533759,0,nan,nan,nan,0.601886,5.58301e-06,1,1,1
213,213,346,0.000,0.0496209,7,4.34946,5.27158,5.7533,0.528083,5.40431e-06,0.0496209,7,4.34946,5.27158,5.7533,0.528083,5.40431e-06,1,1,1
214,214,232,0.000,0.0651246,0,nan,nan,nan,0.540882,9.00631e-06,0.0651246,0,nan,nan,nan,0.540882,9.00631e-06,1,1,1
215,215,205,0.000,0.0351308,30,4.8097,5.86001,6.49364,1.26629,2.49852e-06,0.0351308,30,4.8097,5.86001,6.49364,1.26629,2.49852e-06,1,1,1
216,216,239,0.000,0.0289086,22,4.91454,6.17294,6.40686,1.78536,1.51037e-06,0.0289086,22,4.91454,6.17294,6.40686,1.78536,1.51037e-06,1,1,1
217,217,296,0.000,0.161503,54,5.02313,6.82788,9.35463,2.10701,5.07575e-05,0.161503,54,5.02313,6.82788,9.35463,2.10701,5.07575e-05,1,1,1
218,218,153,0.000,0.0309224,5,4.71816,6.20299,6.84161,1.07633,1.90845e-06,0.0309224,5,4.71816,6.20299,6.84161,1.07633,1.90845e-06,1,1,1
219,219,40,0.000,0.0273712,11,4.54566,5.15816,6.3541,1.42623,1.42351e-06,0.0273712,11,4.54566,5.15816,6.3541,1.42623,1.42351e-06,1,1,1
220,220,345,0.000,0.0373139,23,4.697,5.36191,6.67955,1.21084,2.61262e-06,0.0373139,23,4.697,5.36191,6.67955,1.21084,2.61262e-06,1,1,1
221,221,138,0.000,0.0507602,3,4.38576,5.02674,5.18699,0.655734,5.26069e-06,0.0507602,3,4.38576,5.02674,5.18699,0.655734,5.26069e-06,1,1,1
222,222,206,0.000,0.0287305,18,4.4353,4.8742,5.40391,1.57546,1.49787e-06,0.0287305,18,4.4353,4.8742,5.40391,1.57546,1.49787e-06,1,1,1
223,223,331,0.000,0.0754081,0,nan,nan,nan,0.512851,1.1939e-05,0.0754081,0,nan,nan,nan,0.512851,1.1939e-05,1,1,1
224,224,121,0.000,0.0538808,19,4.75797,5.63647,7.03164,1.09374,5.77362e-06,0.0538808,19,4.75797,5.63647,7.03164,1.09374,5.77362e-06,1,1,1
225,225,254,0.000,0.144495,35,9.11238,10.3447,11.0521,3.86758,4.03187e-05,0.144495,35,9.11238,10.3447,11.0521,3.86758,4.03187e-05,1,1,1
226,226,91,0.000,0.0720825,0,nan,nan,nan,0.436813,1.06987e-05,0.0720825,0,nan,nan,nan,0.436813,1.06987e-05,1,1,1
227,227,174,0.000,0.0493043,0,nan,nan,nan,0.396791,4.90638e-06,0.0493043,0,nan,nan,nan,0.396791,4.90638e-06,1,1,1
228,228,237,0.000,0.203084,30,5.31449,7.06161,8.22576,2.30023,7.53833e-05,0.203084,30,5.31449,7.06161,8.22576,2.30023,7.53833e-05,1,1,1
229,229,122,0.000,0.0584066,17,4.9076,5.63369,6.26439,1.14082,6.61212e-06,0.0584066,17,4.9076,5.63369,6.26439,1.14082,6.61212e-06,1,1,1
230,230,275,0.000,0.04179,14,4.52134,5.54481,6.81054,1.34289,3.21463e-06,0.04179,14,4.52134,5.54481,6.81054,1.34289,3.21463e-06,1,1,1
231,231,57,0.000,0.0220996,15,4.34008,5.62034,6.07882,1.51211,9.22456e-07,0.0220996,15,4.34008,5.62034,6.07882,1.51211,9.22456e-07,1,1,1
232,232,288,0.000,0.164266,3,6.00536,6.29702,6.36994,0.337757,5.84939e-05,0.164266,3,6.00536,6.29702,6.36994,0.337757,5.84939e-05,1,1,1
233,233,289,0.000,0.172896,6,5.4041,7.23693,7.2919,1.07321,5.74057e-05,0.172896,6,5.4041,7.23693,7.2919,1.07321,5.74057e-05,1,1,1
234,234,13,0.000,0.0349704,6,5.93685,7.17439,7.69511,0.510798,2.56795e-06,0.0349704,6,5.93685,7.17439,7.69511,0.510798,2.56795e-06,1,1,1
235,235,207,0.000,0.12368,27,7.702,9.58946,11.3033,3.24224,2.7408e-05,0.12368,27,7.702,9.58946,11.3033,3.24224,2.7408e-05,1,1,1
236,236,307,0.000,0.133597,7,5.04741,8.38176,9.70571,0.940111,3.75834e-05,0.133597,7,5.04741,8.38176,9.70571,0.940111,3.75834e-05,1,1,1
237,237,229,0.000,0.0564817,0,nan,nan,nan,0.692661,5.94291e-06,0.0564817,0,nan,nan,nan,0.692661,5.94291e-06,1,1,1
238,238,15,0.000,0.144145,20,4.88144,7.38767,8.79276,1.05678,4.13089e-05,0.144145,20,4.88144,7.38767,8.79276,1.05678,4.13089e-05,1,1,1
239,239,306,0.000,0.0644197,1,5.16874,5.16874,5.16874,0.742602,8.69799e-06,0.0644197,1,5.16874,5.16874,5.16874,0.742602,8.69799e-06,1,1,1
240,240,67,0.000,0.156471,34,5.33953,7.68334,9.39306,1.56743,5.00684e-05,0.156471,34,5.33953,7.68334,9.39306,1.56743,5.00684e-05,1,1,1
241,241,274,0.000,0.0124634,21,4.60381,6.91609,7.0167,3.7386,2.29897e-07,0.0124634,21,4.60381,6.91609,7.0167,3.7386,2.29897e-07,1,1,1
242,242,257,0.000,0.0183359,14,5.10984,5.83711,7.25013,2.3234,5.53076e-07,0.0183359,14,5.10984,5.83711,7.25013,2.3234,5.53076e-07,1,1,1
243,243,123,0.000,0.12621,12,5.33608,8.09225,10.0042,0.839456,3.3342e-05,0.12621,12,5.33608,8.09225,10.0042,0.839456,3.3342e-05,1,1,1
244,244,226,0.000,0.0171854,19,4.61012,6.19852,8.0627,2.26653,5.06973e-07,0.0171854,19,4.61012,6.19852,8.0627,2.26653,5.06973e-07,1,1,1
245,245,164,0.000,0.0499417,4,4.65225,5.70463,5.92814,0.504938,5.30778e-06,0.0499417,4,4.65225,5.70463,5.92814,0.504938,5.30778e-06,1,1,1
246,246,246,0.000,0.0343969,27,5.15231,6.00501,7.86739,1.60897,2.50449e-06,0.0343969,27,5.15231,6.00501,7.86739,1.60897,2.50449e-06,1,1,1
247,247,210,0.000,0.168806,35,4.76795,7.06837,8.47647,2.25214,5.24315e-05,0.168806,35,4.76795,7.06837,8.47647,2.25214,5.24315e-05,1,1,1
248,248,302,0.000,0.15471,48,7.55122,9.11868,10.3865,4.11892,4.5907e-05,0.15471,48,7.55122,9.11868,10.3865,4.11892,4.5907e-05,1,1,1
249,249,326,0.000,0.018645,14,4.36827,6.14314,7.43544,2.14817,6.30293e-07,0.018645,14,4.36827,6.14314,7.43544,2.14817,6.30293e-07,1,1,1
250,250,157,0.000,0.184835,5,5.48352,6.38311,6.40673,0.657972,7.09026e-05,0.184835,5,5.48352,6.38311,6.40673,0.657972,7.09026e-05,1,1,1
251,251,66,0.000,0.0457771,0,nan,nan,nan,0.615414,3.88891e-06,0.0457771,0,nan,nan,nan,0.615414,3.88891e-06,1,1,1
252,252,136,0.000,0.0145116,14,4.51267,5.03752,6.25786,2.633,3.19861e-07,0.0145116,14,4.51267,5.03752,6.25786,2.633,3.19861e-07,1,1,1
253,253,347,0.000,0.16183,28,6.77722,8.9209,9.50819,1.8153,5.71742e-05,0.16183,28,6.77722,8.9209,9.50819,1.8153,5.71742e-05,1,1,1
254,254,315,0.000,0.0629485,10,4.46456,5.00951,5.62218,0.741602,8.32892e-06,0.0629485,10,4.46456,5.00951,5.62218,0.741602,8.32892e-06,1,1,1
255,255,125,0.000,0.0464441,3,5.6194,6.1412,6.27165,0.530336,4.87759e-06,0.0464441,3,5.6194,6.1412,6.27165,0.530336,4.87759e-06,1,1,1
256,256,8,0.000,0.0268747,22,4.93067,6.34305,8.05714,2.59688,1.11234e-06,0.0268747,22,4.93067,6.34305,8.05714,2.59688,1.11234e-06,1,1,1
257,257,170,0.000,0.159385,29,5.95138,7.83223,8.67119,1.25438,5.62762e-05,0.159385,29,5.95138,7.83223,8.67119,1.25438,5.62762e-05,1,1,1
258,258,73,0.000,0.0406314,17,4.85594,5.85493,6.28866,0.826651,3.65035e-06,0.0406314,17,4.85594,5.85493,6.28866,0.826651,3.65035e-06,1,1,1
259,259,236,0.000,0.159744,19,4.63711,5.93869,8.23468,1.04467,5.48474e-05,0.159744,19,4.63711,5.93869,8.23468,1.04467,5.48474e-05,1,1,1
260,260,124,0.000,0.0488656,8,4.70355,5.26581,5.44564,0.889168,4.73826e-06,0.0488656,8,4.70355,5.26581,5.44564,0.889168,4.73826e-06,1,1,1
261,261,249,0.000,0.0687448,1,4.24989,4.24989,4.24989,0.565864,9.64168e-06,0.0687448,1,4.24989,4.24989,4.24989,0.565864,9.64168e-06,1,1,1
262,262,74,0.000,0.0446967,4,5.09848,5.80204,6.02571,0.58383,4.39281e-06,0.0446967,4,5.09848,5.80204,6.02571,0.58383,4.39281e-06,1,1,1
263,263,195,0.000,0.148002,13,4.6297,7.64074,9.59275,2.09734,3.73265e-05,0.148002,13,4.6297,7.64074,9.59275,2.09734,3.73265e-05,1,1,1
264,264,256,0.000,0.174011,37,6.91146,7.64097,8.28195,2.66346,5.74517e-05,0.174011,37,6.91146,7.64097,8.28195,2.66346,5.74517e-05,1,1,1
265,265,100,0.000,0.0179798,18,4.85057,5.73164,6.09143,1.80206,5.99485e-07,0.0179798,18,4.85057,5.73164,6.09143,1.80206,5.99485e-07,1,1,1
266,266,7,0.000,0.0269929,17,4.55814,5.13155,5.32178,1.53455,1.3984e-06,0.0269929,17,4.55814,5.13155,5.32178,1.53455,1.3984e-06,1,1,1
267,267,245,0.000,0.0620403,11,4.61443,5.10288,5.30364,0.639332,9.02072e-06,0.0620403,11,4.61443,5.10288,5.30364,0.639332,9.02072e-06,1,1,1
268,268,135,0.000,0.113714,24,5.49803,8.90212,10.41,1.76305,2.52468e-05,0.113714,24,5.49803,8.90212,10.41,1.76305,2.52468e-05,1,1,1
269,269,110,0.000,0.139257,22,4.7791,7.34388,9.2306,1.0661,4.1987e-05,0.139257,22,4.7791,7.34388,9.2306,1.0661,4.1987e-05,1,1,1
270,270,99,0.000,0.0720347,2,4.12801,4.20521,4.22451,0.514743,1.02716e-05,0.0720347,2,4.12801,4.20521,4.22451,0.514743,1.02716e-05,1,1,1
271,271,167,0.000,0.0419324,5,4.38532,4.95869,5.23507,0.541232,3.68703e-06,0.0419324,5,4.38532,4.95869,5.23507,0.541232,3.68703e-06,1,1,1
272,272,340,0.000,0.0184858,19,4.77097,6.02575,7.01473,1.70247,6.27696e-07,0.0184858,19,4.77097,6.02575,7.01473,1.70247,6.27696e-07,1,1,1
273,273,42,0.000,0.210553,28,5.29006,7.57122,8.25894,2.31552,8.3164e-05,0.210553,28,5.29006,7.57122,8.25894,2.31552,8.3164e-05,1,1,1
274,274,98,0.000,0.0366295,2,4.43739,4.57096,4.60435,0.607052,2.70466e-06,0.0366295,2,4.43739,4.57096,4.60435,0.607052,2.70466e-06,1,1,1
275,275,183,0.000,0.0222579,2,5.06734,5.351,5.42192,0.786439,9.53674e-07,0.0222579,2,5.06734,5.351,5.42192,0.786439,9.53674e-07,1,1,1
276,276,17,0.000,0.15264,5,6.22161,7.42408,7.74217,0.853661,4.57725e-05,0.15264,5,6.22161,7.42408,7.74217,0.853661,4.57725e-05,1,1,1
277,277,18,0.000,0.24876,11,5.43965,6.09305,6.49027,1.38674,0.000119696,0.24876,11,5.43965,6.09305,6.49027,1.38674,0.000119696,1,1,1
278,278,327,0.000,0.0406641,15,4.63799,5.01739,5.21737,0.604902,3.56637e-06,0.0406641,15,4.63799,5.01739,5.21737,0.604902,3.56637e-06,1,1,1
279,279,81,0.000,0.0273688,15,4.41781,5.68629,5.98445,1.32242,1.3772e-06,0.0273688,15,4.41781,5.68629,5.98445,1.32242,1.3772e-06,1,1,1
280,280,166,0.000,0.149614,8,5.91122,7.95643,7.95755,0.451854,4.86075e-05,0.149614,8,5.91122,7.95643,7.95755,0.451854,4.86075e-05,1,1,1
281,281,312,0.000,0.056706,6,4.66481,5.35081,5.74153,0.536515,6.62748e-06,0.056706,6,4.66481,5.35081,5.74153,0.536515,6.62748e-06,1,1,1
282,282,323,0.000,0.0479358,4,4.82211,5.39543,5.62607,0.439732,5.25842e-06,0.0479358,4,4.82211,5.39543,5.62607,0.439732,5.25842e-06,1,1,1
283,283,156,0.000,0.159345,30,7.34313,8.97951,10.0147,2.48906,5.14545e-05,0.159345,30,7.34313,8.97951,10.0147,2.48906,5.14545e-05,1,1,1
284,284,314,0.000,0.0670836,5,4.20253,4.59047,4.64413,0.583989,9.11504e-06,0.0670836,5,4.20253,4.59047,4.64413,0.583989,9.11504e-06,1,1,1
285,285,37,0.000,0.152925,41,8.67784,9.85722,11.2416,4.1826,4.21242e-05,0.152925,41,8.67784,9.85722,11.2416,4.1826,4.21242e-05,1,1,1
286,286,227,0.000,0.0634768,4,4.75987,5.46805,5.72512,0.712849,8.0195e-06,0.0634768,4,4.75987,5.46805,5.72512,0.712849,8.0195e-06,1,1,1
287,287,336,0.000,0.0305387,46,4.75126,5.72789,8.31225,2.30242,1.75735e-06,0.0305387,46,4.75126,5.72789,8.31225,2.30242,1.75735e-06,1,1,1
288,288,9,0.000,0.0190642,6,4.61858,5.09283,5.2422,1.7919,6.02167e-07,0.0190642,6,4.61858,5.09283,5.2422,1.7919,6.02167e-07,1,1,1
289,289,212,0.000,0.157579,37,4.94895,6.68187,8.11663,2.3612,4.59455e-05,0.157579,37,4.94895,6.68187,8.11663,2.3612,4.59455e-05,1,1,1
290,290,162,0.000,0.0448378,12,4.54172,4.9997,5.46285,0.762841,4.47739e-06,0.0448378,12,4.54172,4.9997,5.46285,0.762841,4.47739e-06,1,1,1
291,291,266,0.000,0.0187067,14,4.26544,5.01187,5.41391,1.61239,6.48712e-07,0.0187067,14,4.26544,5.01187,5.41391,1.61239,6.48712e-07,1,1,1
292,292,168,0.000,0.0586367,16,4.80819,5.5274,5.76035,0.925477,7.02883e-06,0.0586367,16,4.80819,5.5274,5.76035,0.925477,7.02883e-06,1,1,1
293,293,151,0.000,0.0394893,3,4.18537,4.24877,4.26462,1.13481,2.86749e-06,0.0394893,3,4.18537,4.24877,4.26462,1.13481,2.86749e-06,1,1,1
294,294,255,0.000,0.132351,27,5.24158,7.96216,9.1505,1.14164,3.77628e-05,0.132351,27,5.24158,7.96216,9.1505,1.14164,3.77628e-05,1,1,1
295,295,79,0.000,0.176781,38,6.45572,8.43426,12.0637,2.34486,6.76392e-05,0.176781,38,6.45572,8.43426,12.0637,2.34486,6.76392e-05,1,1,1
296,296,114,0.000,0.169029,26,4.92522,6.65078,8.91657,1.54731,5.59514e-05,0.169029,26,4.92522,6.65078,8.91657,1.54731,5.59514e-05,1,1,1
297,297,115,0.000,0.152809,49,6.93151,8.64982,10.6351,3.25333,4.5875e-05,0.152809,49,6.93151,8.64982,10.6351,3.25333,4.5875e-05,1,1,1
298,298,154,0.000,0.0368559,4,4.46791,5.38523,5.74578,0.891224,2.48358e-06,0.0368559,4,4.46791,5.38523,5.74578,0.891224,2.48358e-06,1,1,1
299,299,284,0.000,0.0127039,12,4.8167,8.12465,8.58009,5.01141,1.99205e-07,0.0127039,12,4.8167,8.12465,8.58009,5.01141,1.99205e-07,1,1,1
300,300,233,0.000,0.15773,32,6.64361,8.3982,10.2423,2.40618,4.67561e-05,0.15773,32,6.64361,8.3982,10.2423,2.40618,4.67561e-05,1,1,1
301,301,106,0.000,0.0372931,26,4.78334,6.0368,6.39051,1.15,3.05442e-06,0.0372931,26,4.78334,6.0368,6.39051,1.15,3.05442e-06,1,1,1
302,302,128,0.000,0.0293914,8,5.69666,6.36359,6.7393,1.63423,1.47448e-06,0.0293914,8,5.69666,6.36359,6.7393,1.63423,1.47448e-06,1,1,1
303,303,172,0.000,0.0118766,16,4.78965,5.95867,6.55026,4.84459,1.86542e-07,0.0118766,16,4.78965,5.95867,6.55026,4.84459,1.86542e-07,1,1,1
304,304,143,0.000,0.0192882,9,4.31176,5.1701,5.28138,1.00504,7.63929e-07,0.0192882,9,4.31176,5.1701,5.28138,1.00504,7.63929e-07,1,1,1
305,305,152,0.000,0.148269,25,4.7899,7.80207,9.7867,1.01883,4.82945e-05,0.148269,25,4.7899,7.80207,9.7867,1.01883,4.82945e-05,1,1,1
306,306,161,0.000,0.0205623,25,4.50883,5.53395,7.52602,1.7602,8.57376e-07,0.0205623,25,4.50883,5.53395,7.52602,1.7602,8.57376e-07,1,1,1
307,307,202,0.000,0.0267992,2,4.47085,4.60483,4.63833,1.88476,1.07656e-06,0.0267992,2,4.47085,4.60483,4.63833,1.88476,1.07656e-06,1,1,1
308,308,253,0.000,0.0366348,0,nan,nan,nan,0.750787,2.53057e-06,0.0366348,0,nan,nan,nan,0.750787,2.53057e-06,1,1,1
309,309,107,0.000,0.158575,13,5.34868,8.75117,9.4689,1.1234,5.17332e-05,0.158575,13,5.34868,8.75117,9.4689,1.1234,5.17332e-05,1,1,1
310,310,129,0.000,0.0207698,13,4.55667,6.68002,6.93156,2.10604,7.77805e-07,0.0207698,13,4.55667,6.68002,6.93156,2.10604,7.77805e-07,1,1,1
311,311,200,0.000,0.0235942,2,4.50059,4.67149,4.71422,2.01138,8.53202e-07,0.0235942,2,4.50059,4.67149,4.71422,2.01138,8.53202e-07,1,1,1
312,312,85,0.000,0.0380544,7,4.38712,5.68829,6.79068,1.25745,2.65265e-06,0.0380544,7,4.38712,5.68829,6.79068,1.25745,2.65265e-06,1,1,1
313,313,243,0.000,0.022514,14,4.64436,6.52505,6.65879,2.18622,8.28994e-07,0.022514,14,4.64436,6.52505,6.65879,2.18622,8.28994e-07,1,1,1
